# Light Pollution Monitoring Data Format 1.0
# URL: https://darksky.org/app/uploads/bsk-pdf-manager/47_SKYGLOW_DEFINITIONS.PDF
# Number of header lines: 43
# This data is released under the following license: ODbL 1.0 http://opendatacommons.org/licenses/odbl/summary/
# Device type: SQM-LU-DL
# Instrument ID: 
# Data supplier: 
# Location name: 
# Position (lat, lon, elev(m)): 
# Local timezone: America/Bogota
# Time Synchronization: 
# Moving / Stationary position: 
# Moving / Fixed look direction: 
# Number of channels: 1
# Filters per channel: 
# Measurement direction per channel: 
# Field of view (degrees): 
# Number of fields per line: 5
# SQM serial number: 2120
# SQM hardware identity: FTFTXG3E
# SQM firmware version: 4-6-76
# SQM cover offset value: 
# SQM readout test ix (Information): i,00000004,00000006,00000076,00002120
# SQM readout test rx (Reading): r, 09.25m,0000007979Hz,0000000000c,0000000.000s, 021.5C
# SQM readout test cx (Calibration): c,00000019.00m,0000223.203s, 021.9C,00000008.71m, 021.9C
# SQM readout test Ix (Report Interval): 0000000000s,0000000000s,00000008.00m,00000008.00m
# DL time difference (seconds): -231
# DL retrieved at (UTC): 2026-06-09T22:14:23.835
# DL trigger mode : Every x minutes (power save mode)
# DL trigger seconds : 2
# DL trigger minutes : 1
# DL trigger threshold : 5
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# Comment: 
# UDM version: 1.0.0.384
# UDM setting: DL binary retrieve
# blank line
# UTC Date & Time, Local Date & Time, Temperature, Voltage, MSAS, Record type
# YYYY-MM-DDTHH:mm:ss.fff;YYYY-MM-DDTHH:mm:ss.fff;Celsius;Volts;mag/arcsec^2;Init/Subs
# END OF HEADER
2025-01-24T17:50:05.000;2025-01-24T12:50:05.000;14.8;4.99;14.99;1
2025-01-24T18:00:05.000;2025-01-24T13:00:05.000;14.8;4.99;15.35;1
2025-01-24T18:10:05.000;2025-01-24T13:10:05.000;14.8;4.99;14.82;1
2025-01-24T18:20:05.000;2025-01-24T13:20:05.000;14.5;5.00;14.84;1
2025-01-24T18:30:05.000;2025-01-24T13:30:05.000;14.8;5.00;13.45;1
2025-01-24T18:40:05.000;2025-01-24T13:40:05.000;14.5;4.99;14.78;1
2025-01-24T18:50:05.000;2025-01-24T13:50:05.000;14.8;5.00;14.60;1
2025-01-24T19:00:05.000;2025-01-24T14:00:05.000;14.8;4.99;14.54;1
2025-01-24T19:10:05.000;2025-01-24T14:10:05.000;14.8;4.99;15.21;1
2025-01-24T19:20:05.000;2025-01-24T14:20:05.000;14.8;4.99;15.39;1
2025-01-24T19:30:05.000;2025-01-24T14:30:05.000;14.8;4.99;15.27;1
2025-01-24T19:40:05.000;2025-01-24T14:40:05.000;14.8;4.99;15.91;1
2025-01-24T19:50:05.000;2025-01-24T14:50:05.000;14.8;4.99;16.11;1
2025-01-24T20:00:05.000;2025-01-24T15:00:05.000;14.8;4.99;15.83;1
2025-01-24T20:10:05.000;2025-01-24T15:10:05.000;14.8;4.99;16.20;1
2025-01-24T20:20:05.000;2025-01-24T15:20:05.000;14.8;5.00;15.38;1
2025-01-24T20:30:05.000;2025-01-24T15:30:05.000;14.8;4.99;15.61;1
2025-01-24T20:40:05.000;2025-01-24T15:40:05.000;14.8;4.99;15.12;1
2025-01-24T20:50:05.000;2025-01-24T15:50:05.000;14.8;5.00;15.07;1
2025-01-24T21:00:05.000;2025-01-24T16:00:05.000;14.8;4.99;14.87;1
2025-01-24T21:10:05.000;2025-01-24T16:10:05.000;14.8;4.99;15.01;1
2025-01-24T21:20:05.000;2025-01-24T16:20:05.000;14.8;4.99;15.19;1
2025-01-24T21:30:05.000;2025-01-24T16:30:05.000;14.8;4.99;15.45;1
2025-01-24T21:40:05.000;2025-01-24T16:40:05.000;14.8;4.99;15.41;1
2025-01-24T21:50:05.000;2025-01-24T16:50:05.000;14.8;4.99;15.09;1
2025-01-24T22:00:05.000;2025-01-24T17:00:05.000;14.8;4.99;15.40;1
2025-01-24T22:10:05.000;2025-01-24T17:10:05.000;14.8;4.99;15.51;1
2025-01-24T22:20:05.000;2025-01-24T17:20:05.000;14.5;4.99;15.82;1
2025-01-24T22:30:05.000;2025-01-24T17:30:05.000;14.5;4.99;15.83;1
2025-01-24T22:40:05.000;2025-01-24T17:40:05.000;14.5;4.99;15.87;1
2025-01-24T22:50:05.000;2025-01-24T17:50:05.000;14.5;4.99;15.92;1
2025-01-24T23:00:05.000;2025-01-24T18:00:05.000;14.5;4.99;16.03;1
2025-01-24T23:10:05.000;2025-01-24T18:10:05.000;14.5;4.99;16.03;1
2025-01-24T23:20:05.000;2025-01-24T18:20:05.000;14.5;4.99;15.97;1
2025-01-24T23:30:05.000;2025-01-24T18:30:05.000;14.8;4.99;16.29;1
2025-01-24T23:40:05.000;2025-01-24T18:40:05.000;14.5;5.00;15.96;1
2025-01-24T23:50:05.000;2025-01-24T18:50:05.000;14.5;4.99;17.09;1
2025-01-25T00:00:05.000;2025-01-24T19:00:05.000;14.5;4.99;16.02;1
2025-01-25T00:10:05.000;2025-01-24T19:10:05.000;14.5;5.00;16.00;1
2025-01-25T00:20:05.000;2025-01-24T19:20:05.000;14.5;4.99;16.04;1
